mag,trial,max_gnss_error,rms_residual,detected,detect_time
0.0,1,1.2851692061457893,0.8233114647866959,0,NA
0.0,2,1.2569819057910712,0.799958305753712,0,NA
0.0,3,1.1380582568930897,0.834318275965118,0,NA
0.0,4,1.065543354532539,0.8139216434445585,0,NA
0.0,5,1.0873145164320726,0.8121472178656873,0,NA
10.0,1,10.720864446800144,5.8078446557191095,1,10.0
10.0,2,10.828241797585296,5.83863660982496,1,10.0
10.0,3,10.762024016831068,5.8259576176961305,1,10.0
10.0,4,10.71563246048761,5.812859931639102,1,10.0
10.0,5,10.73344981018076,5.840048018250761,1,10.0
30.0,1,30.701302652458345,17.339783528691985,1,10.0
30.0,2,30.684370502215682,17.318999318615326,1,10.0
30.0,3,30.801327308636566,17.329344327573384,1,10.0
30.0,4,30.966014528896096,17.361758360291876,1,10.0
30.0,5,30.911057321149425,17.31486206469192,1,10.0
60.0,1,60.82184263731041,34.65879584304706,1,10.0
60.0,2,60.90068322047732,34.61423569095616,1,10.0
60.0,3,60.70939268607072,34.61990280657705,1,10.0
60.0,4,60.82506919059089,34.65740039592616,1,10.0
60.0,5,61.08515026163516,34.65696664701336,1,10.0
